Date,Client Name,Client Number,Org Name,Org Type,Location,City,Business type,Products,Proposal Amount,Finally Budget,End of Date,Priority,Email,Status,Additional Remarks,Call Back Comments,Call Back,Referral Name
2024-03-29,Brenda Branch,916642863728,Gonzales-Avila,Restaurant,Singapore,Namakkal,One Time,Google Ads,24171,92698,2024-05-22,Low,lisa11@example.com,Do Not Disturb,Sit capital choice lawyer pattern.,Month address across mother us.,2024-03-29,Prasath
2024-06-08,Tammie Johnson,918863709836,Brown-Houston,Others,India,Karaikudi,Recurring,Marketing,49229,75750,2024-02-04,High,alicia62@example.net,Do Not Disturb,Political government particularly second sound shake control.,Ago really around treat method movie realize.,2024-06-08,Arun Kumar
2024-04-25,Joshua Wright,919781306351,"Carlson, Flynn and Smith",Others,Singapore,Namakkal,One Time,Meta Ads,9683,8257,2024-01-05,Medium,timothylester@example.net,Proposed,Under even least bad network success.,Hotel capital entire risk.,2024-04-25,Arun Kumar
2024-05-21,Mitchell Wagner,919226503591,Romero-Banks,Interior,UK,Thambaram,One Time,Google Ads,12368,54590,2024-02-26,Medium,fescobar@example.net,Proposed,Color light firm bill begin own market.,Collection blue behavior nothing become reduce contain.,2024-05-21,Vignesh
2024-02-27,Brian Hansen,917897538346,Brown-Dudley,Others,Singapore,Paramakudi,Recurring,SMM,53157,24036,2024-02-18,Medium,jessicacompton@example.org,Fresh,Stock her seek in.,Answer represent understand interest at camera.,2024-02-27,Sathish
2024-02-28,April Galloway,917458043411,Berry-Carter,Hospital,Japan,Karaikudi,Recurring,CRM,30884,68527,2024-01-31,Low,davidsilva@example.net,Follow up,Send miss something.,Hospital game read those push available.,2024-02-28,Prasath
2024-02-14,Teresa Lawrence,916124752154,Bernard-Edwards,Others,India,Namakkal,One Time,Video Editing,90905,83025,2024-05-23,Medium,mitchellbarbara@example.org,Do Not Disturb,Fill data fish fear.,Low deal condition small.,2024-02-14,Ravi Kumar
2024-04-28,Karen Jackson,919747459240,"Powell, Cook and Romero",Hospital,Malaysia,Paramakudi,One Time,Meta Ads,7347,92971,2024-03-05,Low,brian62@example.net,Do Not Disturb,Yes leg Congress support.,Example build of happy fill.,2024-04-28,Arun Kumar
2024-06-28,Kelly Frank,919186058310,"Parker, Sanchez and Singleton",Hospital,USA,Pudukkottai,One Time,Google Ads,91666,52083,2024-05-06,High,colemanrobert@example.org,Do Not Disturb,Anyone find most specific point believe.,Money respond next a main might defense.,2024-06-28,Prasath
2024-03-21,Jeffrey Williams,919735404234,Henson PLC,Others,Singapore,Pudukkottai,Recurring,Video Editing,88466,99492,2024-04-03,Low,courtney34@example.org,Hold,Particularly south fire fire.,Movie special then often much.,2024-03-21,Vignesh
2024-05-12,Robert Mack,919740934910,Scott PLC,Others,UK,Erodu,One Time,Website,14950,7829,2024-06-28,Medium,wclark@example.org,Fresh,Forget dark street help want remain something.,She join sing to.,2024-05-12,Arun Kumar
2024-06-22,David White,919764989987,Davidson Inc,Restaurant,Japan,Salam,Recurring,Google Ads,94843,30530,2024-01-02,Low,blackwilliam@example.com,Proposed,Ask property fight painting including build.,Fish worry half hospital focus receive.,2024-06-22,Prasath
2024-03-02,Cheryl Tyler,919151045530,Moss-Hubbard,Others,Malaysia,Madhurai,One Time,Video Editing,25825,72676,2024-04-28,Low,adamsashley@example.net,Fresh,Pick short lawyer.,Return decision rock throw ready.,2024-03-02,Vignesh
2024-04-22,Stephen Soto,918412269251,Erickson-Hall,Interior,India,Salam,Recurring,SMM,47813,82866,2024-03-19,High,schultzkayla@example.net,Follow up,Wish since decade although.,Let case value wind.,2024-04-22,Prasath
2024-05-23,Robert Carpenter,917119929373,Smith LLC,Others,India,Sengalpattu,One Time,CRM,30575,39367,2024-05-27,High,jacobmccoy@example.com,Closed,Office attention talk.,Contain audience rest.,2024-05-23,Arun Kumar
2024-06-09,Daniel Roberts,918060495698,Atkinson Group,Restaurant,India,Salam,One Time,Design,70894,41945,2024-04-13,Medium,newmanlaura@example.com,Hold,Meeting add meeting.,Get space deep land.,2024-06-09,Sathish
2024-05-09,Mary Tucker,919286318686,Parrish-Alexander,Restaurant,USA,Madhurai,One Time,Video Editing,15120,51928,2024-06-13,High,singletonsharon@example.net,Follow up,Them agreement career onto.,One whole phone base there like she.,2024-05-09,Sathish
2024-04-23,Paul Petersen,916153882740,Cole-Wilson,Interior,UK,Karaikudi,Recurring,CRM,24865,7492,2024-01-17,Low,xlittle@example.net,Follow up,Analysis manager could almost side seven perhaps.,Occur carry challenge husband laugh threat key.,2024-04-23,Sathish
2024-02-11,Christina Koch,916387043232,"Jones, Rodriguez and Harris",Interior,Singapore,Erodu,One Time,Meta Ads,61666,76427,2024-02-24,Medium,wfletcher@example.org,Proposed,Food station want area meet memory value.,Experience provide nature feel lay wear.,2024-02-11,Vignesh
2024-04-15,Christina Torres,919682436474,Ford and Sons,Others,Malaysia,Namakkal,Recurring,CRM,4376,49164,2024-03-21,High,smithjennifer@example.com,Do Not Disturb,Scientist senior out within.,On amount product.,2024-04-15,Sathish
2024-05-08,Brittany Frost,919822046878,Garcia-Choi,Hospital,Singapore,Madhurai,One Time,Design,65640,19400,2024-01-31,Medium,carlawagner@example.org,Do Not Disturb,Per prepare majority bag.,Southern site message issue.,2024-05-08,Sathish
2024-05-09,Brandon Richards,919863880033,Price PLC,Others,Japan,Chennai,One Time,Meta Ads,62206,56600,2024-02-07,Medium,jamesmercado@example.com,Hold,Indeed size majority month behind admit.,Participant recently serious at test drug.,2024-05-09,Arun Kumar
